FAMILIA;CULTIVOS;SUPERFICIE SEMBRADA (TAS);SUPERFICIE COSECHADAS (TAS);VOLUMEN OBTENIDO;UNIDAD DE MEDIDA;VALOR PRODUCCION RD$;TRIMESTRE;AÑO
HORTALIZAS;Coliflor;409;374;6031;QQ;6902330;octubre-diciembre;2019
HORTALIZAS;Cundeamor;35;52;381;QQ;302600;octubre-diciembre;2019
HORTALIZAS;Dipten;0;20;1550;PAQUETE;38750;octubre-diciembre;2019
HORTALIZAS;Espinaca;78;25;738;PAQUETE;110700;octubre-diciembre;2019
HORTALIZAS;Lechuga;883;834;56044;HUACAL;18721900;octubre-diciembre;2019
HORTALIZAS;Lechuga Repollada;184;70;6351;HUACAL;2068500;octubre-diciembre;2019
HORTALIZAS;Molondrón;1115;1268;3087;QQ;1444000;octubre-diciembre;2019
HORTALIZAS;Pepino;308;271;1888;QQ;925800;octubre-diciembre;2019
HORTALIZAS;Puerro;114;94;26288;PAQUETE;509140;octubre-diciembre;2019
HORTALIZAS;Rábano;0;2;200;QQ;300000;octubre-diciembre;2019
HORTALIZAS;Remolacha;275;206;8240;QQ;7372000;octubre-diciembre;2019
HORTALIZAS;Repollo;778;654;60000;QQ;887680;octubre-diciembre;2019
HORTALIZAS;Tayota;105;3479;10818;QQ;10463480;octubre-diciembre;2019
HORTALIZAS;Tomate Ensalada;375;387;5501;QQ;5616835;octubre-diciembre;2019
HORTALIZAS;Tomate Industrial;3908;207;3471;QQ;4724325;octubre-diciembre;2019
HORTALIZAS;Zanahoria;812;996;38915;QQ;52830700;octubre-diciembre;2019
HORTALIZAS;Zuchini;25;25;250;QQ;31250;octubre-diciembre;2019
HORTALIZAS;Vainita;149;150;583;QQ;758540;octubre-diciembre;2019
OLEAGINOSAS;Coco;176;32121;35348;MILLAR;403268452;octubre-diciembre;2019
OLEAGINOSAS;Maní;225;452;676;QQ;1987300;octubre-diciembre;2019
AGROINDUSTRIALES;Cacao;1097;41061;18070;QQ;91600700;octubre-diciembre;2019
AGROINDUSTRIALES;Café;10265;22195;16773;QQ;85089429;octubre-diciembre;2019
AGROINDUSTRIALES;Café Orgánico;0;0;0;QQ;0;octubre-diciembre;2019
AGROINDUSTRIALES;Caña Azúcar;135;50;480;TON;226000;octubre-diciembre;2019
AGROINDUSTRIALES;Tabaco;7222;0;0;QQ;0;octubre-diciembre;2019
FRUTALES;Aguacate;4093;8042;23317;MILLAR;104109207;octubre-diciembre;2019
FRUTALES;Cajuil;0;0;0;N/A;0;octubre-diciembre;2019
FRUTALES;Caña Negra;215;510;308023;UNIDAD;5395600;octubre-diciembre;2019
FRUTALES;Cereza;57;7580;15909;QQ;35842068;octubre-diciembre;2019
FRUTALES;Chinola;1030;14772;14686;MILLAR;44954165;octubre-diciembre;2019
FRUTALES;Fresa;15;84;1830;QQ;9148000;octubre-diciembre;2019
FRUTALES;Granadillo;3;60;2700;QQ;94500;octubre-diciembre;2019
FRUTALES;Guanábana;0;10;8;QQ;8000;octubre-diciembre;2019
FRUTALES;Guayaba;40;825;1141;QQ;885700;octubre-diciembre;2019
FRUTALES;Lechosa;321;1745;337469;UNIDAD;14499220;octubre-diciembre;2019
FRUTALES;Limoncillo;0;5;24;QQ;33600;octubre-diciembre;2019
FRUTALES;Macadamia;0;0;0;QQ;0;octubre-diciembre;2019
FRUTALES;Mango;695;460;1350;MILLAR;4788500;octubre-diciembre;2019
FRUTALES;Melón;400;348;219;MILLAR;5425000;octubre-diciembre;2019
FRUTALES;Piña;1211;2960;613865;UNIDAD;15695685;octubre-diciembre;2019
